Nser,Npar,Irradiance,Temperature,Vmpp,Impp,Label
4,3,710,35,162.75,8.325890704,2
4,3,710,45,155.2138526,8.35197668,2
4,3,710,55,147.705,8.374309715,2
4,3,710,65,140.2427006,8.391451981,2
4,3,710,75,132.825,8.403023144,2
4,3,710,85,125.4373792,8.409459824,2
4,3,810,5,185.8382375,9.386875491,2
4,3,810,15,178.2667051,9.427121029,2
4,3,810,25,170.7172527,9.464171741,2
4,3,810,35,163.2,9.497219447,2
4,3,810,45,155.7,9.526853395,2
4,3,810,55,148.23,9.55204215,2
4,3,810,65,140.805,9.571414909,2
4,3,810,75,133.4130257,9.585280155,2
4,3,810,85,126.06,9.592729346,2
4,3,910,5,186.075,10.54391492,2
4,3,910,15,178.5433988,10.58845317,2
4,3,910,25,171.0238398,10.62997929,2
4,3,910,35,163.5232946,10.66788111,2
4,3,910,45,156.06,10.70067851,2
4,3,910,55,148.6230282,10.72872414,2
4,3,910,65,141.225,10.75070215,2
4,3,910,75,133.86,10.76655672,2
4,3,910,85,126.54,10.77476612,2
4,3,1010,5,186.225,11.70009932,2
4,3,1010,15,178.7061233,11.75032607,2
4,3,1010,25,171.21,11.79656675,2
4,3,1010,35,163.7563084,11.83712859,2
4,3,1010,45,156.315,11.87378838,2
4,3,1010,55,148.9007936,11.90516851,2
4,3,1010,65,141.525,11.92992691,2
4,3,1010,75,134.205,11.94594415,2
4,3,1010,85,126.915,11.95475691,2
4,3,1110,5,186.3,12.85571197,2
4,3,1110,15,178.8,12.91113447,2
4,3,1110,25,171.345,12.96053634,2
4,3,1110,35,163.89,13.0069519,2
4,3,1110,45,156.48,13.04657468,2
4,3,1110,55,149.1,13.08010397,2
4,3,1110,65,141.75,13.10707079,2
4,3,1110,75,134.445,13.12550932,2
4,3,1110,85,127.185,13.13463327,2
4,3,10,5,157.965,0.115442255,2
4,3,10,15,149.31,0.115814982,2
4,3,10,25,140.7,0.116114129,2
4,3,10,35,132.12,0.116344799,2
4,3,10,45,123.6,0.116472338,2
4,3,10,55,115.125,0.116498819,2
4,3,10,65,106.71,0.116396349,2
4,3,10,75,98.35904035,0.11614342,2
4,3,10,85,90.09,0.115697031,2
4,3,110,5,175.305,1.274346175,2
4,3,110,15,167.235,1.279442279,2
4,3,110,25,159.195,1.283985908,2
4,3,110,35,151.17,1.288057044,2
4,3,110,45,143.1973512,1.291288686,2
4,3,110,55,135.2482761,1.293863952,2
4,3,110,65,127.335,1.295606127,2
4,3,110,75,119.4681939,1.296319627,2
4,3,110,85,111.66,1.295752666,2
4,3,210,5,179.528767,2.434095636,2
4,3,210,15,171.615,2.444237641,2
4,3,210,25,163.725,2.453470052,2
4,3,210,35,155.8697248,2.461550584,2
4,3,210,45,148.035,2.468611564,2
4,3,210,55,140.235,2.474329025,2
4,3,210,65,132.48,2.478387754,2
4,3,210,75,124.7606181,2.480803082,2
4,3,210,85,117.0933454,2.481071097,2
4,3,310,5,181.8204551,3.593762292,2
4,3,310,15,174,3.609056224,2
4,3,310,25,166.2195789,3.622693407,2
4,3,310,35,158.445,3.635305249,2
4,3,310,45,150.705,3.646153608,2
4,3,310,55,142.995,3.655198881,2
4,3,310,65,135.33,3.661883499,2
4,3,310,75,127.71,3.665968603,2
4,3,310,85,120.12,3.6676464,2
4,3,410,5,183.288688,4.75305098,2
4,3,410,15,175.53,4.773672307,2
4,3,410,25,167.81077,4.792172206,2
4,3,410,35,160.1166552,4.808789805,2
4,3,410,45,152.445,4.823465061,2
4,3,410,55,144.81,4.835582361,2
4,3,410,65,137.2103648,4.844955087,2
4,3,410,75,129.6377735,4.851647277,2
4,3,410,85,122.13,4.853945538,2
4,3,510,5,184.275,5.912554649,2
4,3,510,15,176.595,5.93754691,2
4,3,510,25,168.93,5.960711847,2
4,3,510,35,161.28,5.981939037,2
4,3,510,45,153.6646763,6.00034479,2
4,3,510,55,146.0902137,6.015429935,2
4,3,510,65,138.54,6.027605731,2
4,3,510,75,131.025,6.036148899,2
4,3,510,85,123.555,6.040259436,2
4,3,610,5,184.995,7.070709514,2
4,3,610,15,177.345,7.101258119,2
4,3,610,25,169.725,7.129067238,2
4,3,610,35,162.12,7.154581063,2
4,3,610,45,154.56,7.176271954,2
4,3,610,55,147.015,7.195244109,2
4,3,610,65,139.515,7.209787538,2
4,3,610,75,132.045,7.22029343,2
4,3,610,85,124.62,7.225564209,2
4,3,710,5,185.4869907,8.229240818,2
4,3,710,15,177.8889826,8.264211169,2
4,3,710,25,170.295,8.297216614,2
4,3,710,35,162.75,8.325890704,2
4,3,710,45,155.205,8.352452914,2
4,3,710,55,147.705,8.374309715,2
4,3,710,65,140.25,8.391015242,2
4,3,710,75,132.825,8.403023144,2
4,3,710,85,125.43,8.409954418,2
4,3,810,5,185.835,9.387038929,2
4,3,810,15,178.275,9.426682376,2
4,3,810,25,170.7269141,9.463636106,2
4,3,810,35,163.1925068,9.49765552,2
4,3,810,45,155.7,9.526853395,2
4,3,810,55,148.23,9.552042151,2
4,3,810,65,140.805,9.571414909,2
4,3,810,75,133.41,9.58549758,2
4,3,810,85,126.06,9.592729346,2
4,3,910,5,186.075,10.54391492,2
4,3,910,15,178.5379965,10.58877373,2
4,3,910,25,171.015,10.63052889,2
4,3,910,35,163.53,10.66744349,2
4,3,910,45,156.06,10.70067851,2
4,3,910,55,148.6158587,10.72924036,2
4,3,910,65,141.225,10.75070215,2
4,3,910,75,133.866664,10.76602058,2
4,3,910,85,126.54,10.77476612,2
4,3,1010,5,186.225,11.70009932,2
4,3,1010,15,178.7017003,11.75061674,2
4,3,1010,25,171.21,11.79656675,2
4,3,1010,35,163.755,11.83722323,2
4,3,1010,45,156.315,11.87378838,2
4,3,1010,55,148.905,11.90483224,2
4,3,1010,65,141.525,11.92992691,2
4,3,1010,75,134.205,11.94594415,2
4,3,1010,85,126.915,11.95475691,2
4,3,1110,5,186.3,12.85571197,2
4,3,1110,15,178.8,12.91113447,2
4,3,1110,25,171.345,12.96053634,2
4,3,1110,35,163.8958704,13.00648618,2
4,3,1110,45,156.48,13.04657468,2
4,3,1110,55,149.1,13.08010397,2
4,3,1110,65,141.753776,13.10672179,2
4,3,1110,75,134.445,13.12550932,2
4,3,1110,85,127.185,13.13463327,2
4,3,10,5,157.965,0.115442255,2
4,3,10,15,149.31,0.115814982,2
4,3,10,25,140.7,0.116114129,2
4,3,10,35,132.12,0.116344799,2
4,3,10,45,123.6,0.116472338,2
4,3,10,55,115.125,0.116498819,2
4,3,10,65,106.71,0.116396349,2
4,3,10,75,98.35904035,0.11614342,2
4,3,10,85,90.09,0.115697031,2
4,3,110,5,175.305,1.274346175,2
4,3,110,15,167.235,1.279442279,2
4,3,110,25,159.195,1.283985908,2
4,3,110,35,151.1745213,1.288018537,2
4,3,110,45,143.1948117,1.291311603,2
4,3,110,55,135.2478311,1.293868213,2
4,3,110,65,127.335,1.295606127,2
4,3,110,75,119.475,1.296245774,2
4,3,110,85,111.66,1.295752666,2
4,3,210,5,179.5284766,2.434099571,2
4,3,210,15,171.615,2.444237641,2
4,3,210,25,163.725,2.453470051,2
4,3,210,35,155.8683935,2.461571608,2
4,3,210,45,148.035,2.468611564,2
4,3,210,55,140.235,2.474329025,2
4,3,210,65,132.4767838,2.47844793,2
4,3,210,75,124.7585274,2.480844662,2
4,3,210,85,117.0797206,2.481359832,2
4,3,310,5,181.8236499,3.593699121,2
4,3,310,15,174,3.609056224,2
4,3,310,25,166.2151562,3.622789855,2
4,3,310,35,158.445,3.635305249,2
4,3,310,45,150.705,3.646153608,2
4,3,310,55,143.0008659,3.655049015,2
4,3,310,65,135.33,3.661883499,2
4,3,310,75,127.71,3.665968603,2
4,3,310,85,120.12,3.6676464,2
4,3,410,5,183.2882455,4.753062465,2
4,3,410,15,175.53,4.773672307,2
4,3,410,25,167.8106348,4.792176064,2
4,3,410,35,160.114125,4.808865778,2
4,3,410,45,152.445,4.823465061,2
4,3,410,55,144.81,4.835582361,2
4,3,410,65,137.21244,4.844881772,2
4,3,410,75,129.645,4.851376914,2
4,3,410,85,122.1222638,4.854253076,2
4,3,510,5,184.275,5.912554649,2
4,3,510,15,176.595,5.93754691,2
4,3,510,25,168.93,5.960711847,2
4,3,510,35,161.28,5.981939037,2
4,3,510,45,153.66,6.000527268,2
4,3,510,55,146.078113,6.015928271,2
4,3,510,65,138.54,6.027605731,2
4,3,510,75,131.0170747,6.036513897,2
4,3,510,85,123.555,6.040259436,2
4,3,610,5,184.9890855,7.070935682,2
4,3,610,15,177.36,7.100657236,2
4,3,610,25,169.725,7.129067238,2
4,3,610,35,162.12,7.154581063,2
4,3,610,45,154.5499295,7.176739544,2
4,3,610,55,147.015,7.195244109,2
4,3,610,65,139.515,7.209787538,2
4,3,610,75,132.045,7.22029343,2
4,3,610,85,124.6288582,7.225050643,2
4,3,710,5,185.49,8.229107336,2
4,3,710,15,177.885,8.264396229,2
4,3,710,25,170.295,8.297216614,2
4,3,710,35,162.75,8.325890704,2
4,3,710,45,155.2184281,8.351730366,2
